Variable,Importancia
CLASE_CHOQUE,0.44463511381505894
CLASE_ATROPELLO,0.11354563580257693
NUM_HORA,0.09033247689106377
CLASE_CAIDA OCUPANTE,0.08940864687213984
CLASE_OTRO,0.0771939596540218
NUM_MES,0.04082184769408579
CLASE_VOLCAMIENTO,0.034115981856383905
NUM_DIA_SEMANA,0.020213198491778547
MUNICIPIO_ENVIGADO,0.018460976305490186
MUNICIPIO_MEDELLÍN,0.012885855646571458
COMUNA_SIN INFORMACIÓN,0.008086319923734061
COMUNA_EL POBLADO,0.007039441804680989
COMUNA_LA CANDELARIA,0.006000328555133231
MUNICIPIO_SABANETA,0.005043171653072963
MUNICIPIO_BARBOSA,0.003781412205193628
COMUNA_DOCE DE OCTUBRE,0.0030280038529732394
COMUNA_MANRIQUE,0.0026258887318263736
COMUNA_ROBLEDO,0.0023036644528334526
MUNICIPIO_ITAGUI,0.0022190507671553915
FIN_DE_SEMANA,0.0021792149145625182
JORNADA_MAÑANA,0.0018300225389365926
COMUNA_ARANJUEZ,0.0017335676850630333
COMUNA_LAURELES ESTADIO,0.0014494596686910463
JORNADA_TARDE,0.001426187747280894
MUNICIPIO_BELLO,0.001415514727151519
JORNADA_MADRUGADA,0.0012720027782296048
COMUNA_VILLA HERMOSA,0.0012164371080321977
COMUNA_CASTILLA,0.0009789903929168045
MUNICIPIO_CALDAS,0.0007598709600396885
JORNADA_NOCHE,0.0006933817717467652
COMUNA_SAN JAVIER,0.0006033084898326378
COMUNA_CORREGIMIENTO DE SAN CRISTÓBAL,0.00041877116943009893
COMUNA_POPULAR,0.0004118998520920916
COMUNA_GUAYABAL,0.00036831790614943045
COMUNA_BELÉN,0.00031524112951514835
COMUNA_BUENOS AIRES,0.0003149794441789979
COMUNA_LA AMÉRICA,0.0002522504567808941
COMUNA_SANTA CRUZ,0.00018037550683273884
COMUNA_CORREGIMIENTO DE SAN ANTONIO DE PRADO,0.0001485491249087843
CLASE_INCENDIO,0.00011601393480404877
COMUNA_CORREGIMIENTO DE ALTAVISTA,9.851000124163812e-05
COMUNA_CORREGIMIENTO DE SANTA ELENA,3.448269151470323e-05
COMUNA_IN,2.4140201650617634e-05
COMUNA_RURAL,1.633205562073094e-05
CLASE_SIN INFORMACIÓN,8.963219346741762e-07
COMUNA_CORREGIMIENTO DE SAN SEBASTIÁN DE PALMITAS,3.0644508773084757e-07
JORNADA_NONE,0.0
